model_label,question,mean_score,std_score,max_points,pct_max
Claude Haiku,Q1.1,0.5833333333333334,0.125,1.0,58.3
Claude Haiku,Q1.10,0.8333333333333334,0.22912878474779197,1.0,83.3
Claude Haiku,Q1.11,0.8888888888888888,0.3333333333333333,1.0,88.9
Claude Haiku,Q1.12,0.4388888888888889,0.2803767306876787,1.0,43.9
Claude Haiku,Q1.2,0.6055555555555556,0.2390664714630175,1.0,60.6
Claude Haiku,Q1.3,0.6277777777777778,0.13254978100489057,1.0,62.8
Claude Haiku,Q1.4,0.9611111111111111,0.08579691784155838,1.0,96.1
Claude Haiku,Q1.5,0.5611111111111111,0.3130273328498825,1.0,56.1
Claude Haiku,Q1.6,0.5055555555555555,0.411129879451467,1.0,50.6
Claude Haiku,Q1.7,0.7388888888888889,0.19329022507905336,1.0,73.9
Claude Haiku,Q1.8,0.49444444444444446,0.17400510848184247,1.0,49.4
Claude Haiku,Q1.9,0.6611111111111111,0.2420973174388991,1.0,66.1
Claude Haiku,Q2.1.1,0.9777777777777779,1.4678025904202665,3.0,32.6
Claude Haiku,Q2.1.2,0.9666666666666666,1.452583904633395,3.0,32.2
Claude Haiku,Q2.2,3.0,2.5,6.0,50.0
Claude Haiku,Q3,8.88888888888889,1.4953632037438633,12.0,74.1
Claude Haiku,Q4,9.166666666666666,1.903943276465977,12.0,76.4
Claude Haiku,Q5,9.31111111111111,1.6907427690548054,12.0,77.6
Claude Haiku,Q6.1,6.588888888888889,0.7304869000270374,8.0,82.4
Claude Haiku,Q6.2,3.4555555555555557,0.3045944480416179,4.0,86.4
Claude Opus,Q1.1,0.5,0.0,1.0,50.0
Claude Opus,Q1.10,0.8333333333333334,0.25,1.0,83.3
Claude Opus,Q1.11,0.9444444444444444,0.16666666666666666,1.0,94.4
Claude Opus,Q1.12,0.5,0.0,1.0,50.0
Claude Opus,Q1.2,0.8333333333333334,0.25,1.0,83.3
Claude Opus,Q1.3,0.8333333333333334,0.25,1.0,83.3
Claude Opus,Q1.4,0.9444444444444444,0.16666666666666666,1.0,94.4
Claude Opus,Q1.5,0.8333333333333334,0.25,1.0,83.3
Claude Opus,Q1.6,0.3333333333333333,0.5,1.0,33.3
Claude Opus,Q1.7,0.5,0.0,1.0,50.0
Claude Opus,Q1.8,0.5,0.0,1.0,50.0
Claude Opus,Q1.9,0.8333333333333334,0.25,1.0,83.3
Claude Opus,Q2.1.1,0.0,0.0,3.0,0.0
Claude Opus,Q2.1.2,0.0,0.0,3.0,0.0
Claude Opus,Q2.2,0.0,0.0,6.0,0.0
Claude Opus,Q3,7.0,0.5590169943749475,12.0,58.3
Claude Opus,Q4,4.666666666666667,0.661437827766148,12.0,38.9
Claude Opus,Q5,4.944444444444445,0.6346477588219923,12.0,41.2
Claude Opus,Q6.1,4.611111111111111,0.3333333333333333,8.0,57.6
Claude Opus,Q6.2,2.3333333333333335,0.24999999999999997,4.0,58.3
Claude Sonnet,Q1.1,0.5555555555555556,0.16666666666666666,1.0,55.6
Claude Sonnet,Q1.10,0.8333333333333334,0.25,1.0,83.3
Claude Sonnet,Q1.11,0.9444444444444444,0.16666666666666666,1.0,94.4
Claude Sonnet,Q1.12,0.5,0.0,1.0,50.0
Claude Sonnet,Q1.2,0.6666666666666666,0.25,1.0,66.7
Claude Sonnet,Q1.3,0.7222222222222222,0.26352313834736496,1.0,72.2
Claude Sonnet,Q1.4,0.6666666666666666,0.25,1.0,66.7
Claude Sonnet,Q1.5,0.5,0.25,1.0,50.0
Claude Sonnet,Q1.6,0.4444444444444444,0.4639803635691685,1.0,44.4
Claude Sonnet,Q1.7,0.5,0.0,1.0,50.0
Claude Sonnet,Q1.8,0.4444444444444444,0.16666666666666666,1.0,44.4
Claude Sonnet,Q1.9,0.8611111111111112,0.22047927592204922,1.0,86.1
Claude Sonnet,Q2.1.1,0.0,0.0,3.0,0.0
Claude Sonnet,Q2.1.2,0.0,0.0,3.0,0.0
Claude Sonnet,Q2.2,0.0,0.0,6.0,0.0
Claude Sonnet,Q3,7.555555555555555,0.6346477588219923,12.0,63.0
Claude Sonnet,Q4,4.305555555555555,1.456546524412378,12.0,35.9
Claude Sonnet,Q5,4.361111111111111,0.8014743359029727,12.0,36.3
Claude Sonnet,Q6.1,4.361111111111111,0.7511565157216645,8.0,54.5
Claude Sonnet,Q6.2,2.388888888888889,0.3333333333333333,4.0,59.7
GPT-4o,Q1.1,0.5,0.0,1.0,50.0
GPT-4o,Q1.10,0.7777777777777778,0.26352313834736496,1.0,77.8
GPT-4o,Q1.11,1.0,0.0,1.0,100.0
GPT-4o,Q1.12,0.5,0.0,1.0,50.0
GPT-4o,Q1.2,0.6666666666666666,0.25,1.0,66.7
GPT-4o,Q1.3,0.6666666666666666,0.25,1.0,66.7
GPT-4o,Q1.4,1.0,0.0,1.0,100.0
GPT-4o,Q1.5,0.4444444444444444,0.3004626062886658,1.0,44.4
GPT-4o,Q1.6,0.3333333333333333,0.5,1.0,33.3
GPT-4o,Q1.7,0.4444444444444444,0.39086797998528583,1.0,44.4
GPT-4o,Q1.8,0.5,0.0,1.0,50.0
GPT-4o,Q1.9,0.8333333333333334,0.25,1.0,83.3
GPT-4o,Q2.1.1,0.0,0.0,3.0,0.0
GPT-4o,Q2.1.2,0.0,0.0,3.0,0.0
GPT-4o,Q2.2,0.0,0.0,6.0,0.0
GPT-4o,Q3,5.0,1.224744871391589,12.0,41.7
GPT-4o,Q4,6.0,0.0,12.0,50.0
GPT-4o,Q5,6.0,0.0,12.0,50.0
GPT-4o,Q6.1,5.777777777777778,1.201850425154663,8.0,72.2
GPT-4o,Q6.2,2.111111111111111,0.3333333333333334,4.0,52.8
GPT-5,Q1.1,0.5,0.0,1.0,50.0
GPT-5,Q1.10,0.8888888888888888,0.2204792759220492,1.0,88.9
GPT-5,Q1.11,0.9444444444444444,0.16666666666666666,1.0,94.4
GPT-5,Q1.12,0.3888888888888889,0.22047927592204922,1.0,38.9
GPT-5,Q1.2,0.8333333333333334,0.25,1.0,83.3
GPT-5,Q1.3,0.8333333333333334,0.25,1.0,83.3
GPT-5,Q1.4,0.6666666666666666,0.25,1.0,66.7
GPT-5,Q1.5,0.6666666666666666,0.5,1.0,66.7
GPT-5,Q1.6,0.3333333333333333,0.5,1.0,33.3
GPT-5,Q1.7,0.5,0.0,1.0,50.0
GPT-5,Q1.8,0.4444444444444444,0.16666666666666666,1.0,44.4
GPT-5,Q1.9,0.9444444444444444,0.16666666666666669,1.0,94.4
GPT-5,Q2.1.1,0.0,0.0,3.0,0.0
GPT-5,Q2.1.2,0.0,0.0,3.0,0.0
GPT-5,Q2.2,0.0,0.0,6.0,0.0
GPT-5,Q3,8.527777777777779,1.2402396721781013,12.0,71.1
GPT-5,Q4,3.0555555555555554,0.3004626062886658,12.0,25.5
GPT-5,Q5,3.861111111111111,0.6263873490988712,12.0,32.2
GPT-5,Q6.1,3.388888888888889,0.7817359599705717,8.0,42.4
GPT-5,Q6.2,1.9444444444444444,0.39086797998528583,4.0,48.6
Gemini 2.5 Flash,Q1.1,0.5833333333333334,0.12499999999999999,1.0,58.3
Gemini 2.5 Flash,Q1.10,0.9166666666666666,0.125,1.0,91.7
Gemini 2.5 Flash,Q1.11,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q1.12,0.8611111111111112,0.18162078931419473,1.0,86.1
Gemini 2.5 Flash,Q1.2,0.9166666666666666,0.17677669529663687,1.0,91.7
Gemini 2.5 Flash,Q1.3,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q1.4,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Flash,Q1.5,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Flash,Q1.6,0.3333333333333333,0.5,1.0,33.3
Gemini 2.5 Flash,Q1.7,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Flash,Q1.8,0.7222222222222222,0.44095855184409843,1.0,72.2
Gemini 2.5 Flash,Q1.9,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q2.1.1,0.0,0.0,3.0,0.0
Gemini 2.5 Flash,Q2.1.2,0.0,0.0,3.0,0.0
Gemini 2.5 Flash,Q2.2,0.0,0.0,6.0,0.0
Gemini 2.5 Flash,Q3,10.0,1.3228756555322956,12.0,83.3
Gemini 2.5 Flash,Q4,3.6944444444444446,0.6588078458684125,12.0,30.8
Gemini 2.5 Flash,Q5,3.8333333333333335,0.4330127018922193,12.0,31.9
Gemini 2.5 Flash,Q6.1,4.055555555555555,0.6346477588219922,8.0,50.7
Gemini 2.5 Flash,Q6.2,3.1944444444444446,0.42898458920779164,4.0,79.9
Gemini 2.5 Pro,Q1.1,0.5555555555555556,0.16666666666666666,1.0,55.6
Gemini 2.5 Pro,Q1.10,1.0,0.0,1.0,100.0
Gemini 2.5 Pro,Q1.11,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.12,0.6666666666666666,0.25,1.0,66.7
Gemini 2.5 Pro,Q1.2,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.3,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.4,0.7222222222222222,0.26352313834736496,1.0,72.2
Gemini 2.5 Pro,Q1.5,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.6,0.3333333333333333,0.5,1.0,33.3
Gemini 2.5 Pro,Q1.7,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.8,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.9,0.8888888888888888,0.22047927592204922,1.0,88.9
Gemini 2.5 Pro,Q2.1.1,0.0,0.0,3.0,0.0
Gemini 2.5 Pro,Q2.1.2,0.0,0.0,3.0,0.0
Gemini 2.5 Pro,Q2.2,0.0,0.0,6.0,0.0
Gemini 2.5 Pro,Q3,9.055555555555555,1.5898986690282426,12.0,75.5
Gemini 2.5 Pro,Q4,4.111111111111111,1.1118053386771944,12.0,34.3
Gemini 2.5 Pro,Q5,4.166666666666667,0.8291561975888503,12.0,34.7
Gemini 2.5 Pro,Q6.1,4.666666666666667,0.82915619758885,8.0,58.3
Gemini 2.5 Pro,Q6.2,3.2222222222222223,0.6180165405913052,4.0,80.6
